source,pin,surface,feature,target,implementation,pathExists,declaredDisposition,behaviorEvidence,workflowEvidence,liveVerifiedThisAudit
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,ping,ping,packages/mcp/src/tools/ping.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_selection,get_selection,packages/mcp/src/tools/get-selection.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_selection,get_selection,packages/mcp/src/tools/get-selection.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_document,get_document,packages/mcp/src/tools/get-document.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_document,get_document,packages/mcp/src/tools/get-document.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_node,get_node,packages/mcp/src/tools/get-node.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_node,get_node,packages/mcp/src/tools/get-node.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_nodes_info,get_nodes_info,packages/mcp/src/tools/get-nodes-info.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_nodes_info,get_nodes_info,packages/mcp/src/tools/get-nodes-info.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_metadata,get_metadata,packages/mcp/src/tools/get-metadata.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_metadata,get_metadata,packages/mcp/src/tools/get-metadata.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_pages,get_pages,packages/mcp/src/tools/get-pages.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_pages,get_pages,packages/mcp/src/tools/get-pages.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,search_nodes,search_nodes,packages/mcp/src/tools/search-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,search_nodes,search_nodes,packages/mcp/src/tools/search-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,scan_text_nodes,scan_text_nodes,packages/mcp/src/tools/scan-text-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,scan_text_nodes,scan_text_nodes,packages/mcp/src/tools/scan-text-nodes.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,scan_nodes_by_types,scan_nodes_by_types,packages/mcp/src/tools/scan-nodes-by-types.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,scan_nodes_by_types,scan_nodes_by_types,packages/mcp/src/tools/scan-nodes-by-types.ts,True,adapter,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_styles,get_styles,packages/mcp/src/tools/get-styles.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_styles,get_styles,packages/mcp/src/tools/get-styles.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_variable_defs,get_variable_defs,packages/mcp/src/tools/get-variable-defs.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_variable_defs,get_variable_defs,packages/mcp/src/tools/get-variable-defs.ts,True,native,Not a full behavioral parity attestation; see source audit,Desktop entry branch,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_local_components,get_local_components,packages/mcp/src/tools/get-local-components.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_local_components,get_local_components,packages/mcp/src/tools/get-local-components.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figwright,a835e81b575eab2c9265a67f9353c89b848f81ca,canonical-tool-mapping,get_component_api,get_component_api,packages/mcp/src/tools/get-component-api.ts,True,native,Not a full behavioral parity attestation; see source audit,Guide mention only,False
figma-mcp-rust,6094566436577b29d04393c774d51492c12671e1,canonical-tool-mapping,get_viewport,get_viewport,packages/mcp/src/tools/get-viewport.ts,True,native,Not a full behavioral parity attestation; see source audit,No inspected entry/guide mention,False
